PlayerTestSessionId,TestDate,TestSessionSeq,PeakPropulsiveForceNewtons,PeakLandingForceNewtons,TimeToStabilizationMilliseconds,LRPropulsiveImpulseIndexPct
12,2/10/2023,1,2453,4357,,13.61
12,2/10/2023,2,2518,5018,,7.94
12,2/10/2023,3,2474,3842,1030.0,3.95
11,2/3/2023,1,2470,3532,1720.0,9.66
11,2/3/2023,2,2565,4551,950.0,15.72
15,3/19/2023,1,2378,2715,3340.0,1.61
15,3/19/2023,2,2519,5116,1980.0,6.58
15,3/19/2023,3,2575,4120,2970.0,10.31
13,3/4/2023,1,2338,4574,3630.0,-7.31
13,3/4/2023,2,2201,4121,1130.0,13.99
14,3/4/2023,3,2462,2883,1230.0,10.47
1,4/22/2022,1,2381,5549,970.0,3.06
1,4/22/2022,2,2575,4733,830.0,2.67
1,4/22/2022,3,2601,3950,1370.0,1.8
4,5/20/2022,1,2466,6935,980.0,7.29
4,5/20/2022,2,2711,4156,1110.0,5.78
4,5/20/2022,3,2723,4515,1210.0,1.37
2,5/6/2022,1,2381,5376,920.0,11.79
2,5/6/2022,2,2491,4539,980.0,4.77
3,5/6/2022,3,2686,3956,880.0,0.99
7,6/24/2022,1,2556,5315,,-0.45
7,6/24/2022,2,2599,4599,1910.0,4.06
7,6/24/2022,3,2510,4502,3880.0,4.9
5,6/4/2022,1,2451,4495,1210.0,10.61
6,6/4/2022,2,2563,4999,1510.0,6.44
6,6/4/2022,3,2657,4538,3240.0,4.34
10,7/29/2022,1,2559,5907,1930.0,9.4
10,7/29/2022,2,2645,4231,2730.0,-3.19
10,7/29/2022,3,2711,4054,1590.0,8.71
8,7/8/2022,1,2729,5256,1030.0,0.58
8,7/8/2022,2,2849,3894,1590.0,6.47
9,7/8/2022,3,2937,6052,2120.0,1.47
