PlayerTestSessionId,TestDate,TestSessionSeq,PeakPropulsiveForceNewtons,PeakLandingForceNewtons,TimeToStabilizationMilliseconds,LRPropulsiveImpulseIndexPct
3,2/1/2023,1,2612,9377,730.0,9.16
3,2/1/2023,2,2660,8590,990.0,15.61
3,2/1/2023,3,2503,7398,2950.0,0.75
4,2/11/2023,1,2587,7299,2690.0,3.2
4,2/11/2023,2,2488,6281,2720.0,9.9
4,2/11/2023,3,2558,7313,,10.71
5,2/18/2023,1,2511,9175,2170.0,7.71
5,2/18/2023,2,2327,6992,,-0.44
5,2/18/2023,3,2426,7581,2140.0,12.91
6,3/11/2023,1,2570,8258,,8.56
6,3/11/2023,2,2565,8092,,8.85
6,3/11/2023,3,2566,9700,,18.68
1,5/7/2022,1,2496,6222,2470.0,6.69
1,5/7/2022,2,2378,8179,,2.98
2,5/7/2022,3,2322,7986,1400.0,3.97
