PlayerTestSessionId,TestDate,TestSessionSeq,PeakPropulsiveForceNewtons,PeakLandingForceNewtons,TimeToStabilizationMilliseconds,LRPropulsiveImpulseIndexPct
34,2/10/2023,1,2470,6325,810.0,-2.2
34,2/10/2023,2,2573,5636,880.0,-5.16
34,2/10/2023,3,2662,6540,1720.0,2.96
35,2/17/2023,1,2228,5595,1020.0,-4.88
35,2/17/2023,2,2293,6146,1630.0,0.87
35,2/17/2023,3,2369,5657,990.0,-1.11
36,2/24/2023,1,2421,5965,980.0,-4.67
36,2/24/2023,2,2549,6073,1030.0,-4.59
36,2/24/2023,3,2505,5074,830.0,-3.72
33,2/3/2023,1,2426,5575,790.0,-1.69
33,2/3/2023,2,2456,6095,1440.0,-6.96
33,2/3/2023,3,2491,4551,1280.0,-0.12
39,3/10/2023,1,2307,4224,800.0,2.95
39,3/10/2023,2,2430,4333,940.0,-1.82
39,3/10/2023,3,2372,4454,1330.0,3.39
40,3/17/2023,1,2458,5541,1110.0,-3.37
40,3/17/2023,2,2475,4588,1130.0,-0.32
40,3/17/2023,3,2540,5740,980.0,4.22
41,3/24/2023,1,2251,5101,1140.0,-9.94
41,3/24/2023,2,2539,4407,1080.0,2.35
41,3/24/2023,3,2501,4903,1070.0,-6.3
42,3/31/2023,1,2457,5296,1030.0,0.41
43,3/31/2023,2,2484,6146,840.0,-4.42
43,3/31/2023,3,2580,5521,850.0,6.61
37,3/4/2023,1,2462,5713,880.0,1.17
38,3/4/2023,2,2501,5467,960.0,-0.72
38,3/4/2023,3,2503,4568,1140.0,-2.89
3,4/15/2022,1,2147,4619,,-1.98
3,4/15/2022,2,2355,3864,770.0,-10.75
3,4/15/2022,3,2289,5598,890.0,-3.62
4,4/22/2022,1,2216,4694,1030.0,2.25
4,4/22/2022,2,2322,4998,1010.0,-6.6
5,4/22/2022,3,2356,3883,940.0,-0.8
6,4/29/2022,1,2105,4102,940.0,1.66
6,4/29/2022,2,2343,5367,930.0,-4.99
6,4/29/2022,3,2303,5489,1520.0,-5.67
44,4/7/2023,1,2486,6263,1120.0,-8.25
44,4/7/2023,2,2486,5230,700.0,-1.67
44,4/7/2023,3,2647,4580,960.0,1.58
1,4/8/2022,1,2190,5655,1970.0,-7.73
1,4/8/2022,2,2404,3884,1380.0,-6.52
2,4/8/2022,3,2429,3837,2400.0,-0.83
9,5/13/2022,1,2305,4154,900.0,-0.32
10,5/13/2022,2,2375,5236,970.0,-1.72
10,5/13/2022,3,2434,4155,850.0,-5.87
10,5/13/2022,4,2605,3751,960.0,-0.62
11,5/20/2022,1,2454,5936,850.0,0.44
11,5/20/2022,2,2550,4172,870.0,-5.65
11,5/20/2022,3,2513,4798,890.0,3.28
12,5/27/2022,1,2297,4760,1020.0,1.5
12,5/27/2022,2,2437,5561,820.0,-7.9
12,5/27/2022,3,2529,3945,940.0,4.43
13,5/27/2022,4,2589,5764,970.0,-9.11
7,5/6/2022,1,2286,3962,930.0,-2.95
7,5/6/2022,2,2398,3855,890.0,-9.8
8,5/6/2022,3,2503,4041,1100.0,-2.67
16,6/11/2022,1,2419,4660,980.0,-5.51
16,6/11/2022,2,2550,8262,2940.0,-1.74
16,6/11/2022,3,2456,4711,1140.0,0.17
17,6/18/2022,1,2265,5261,870.0,-3.57
17,6/18/2022,2,2413,3609,1880.0,0.45
17,6/18/2022,3,2484,4068,1110.0,0.51
18,6/24/2022,1,2304,4348,890.0,-3.8
18,6/24/2022,2,2425,4659,1700.0,3.74
18,6/24/2022,3,2358,5037,1090.0,-2.24
14,6/3/2022,1,2271,4327,710.0,-8.85
15,6/3/2022,2,2477,4738,730.0,1.52
15,6/3/2022,3,2450,4895,960.0,-5.19
19,6/30/2022,1,2494,3834,990.0,-4.09
19,6/30/2022,2,2542,3909,910.0,-5.92
20,7/1/2022,1,2417,4377,1880.0,-1.89
20,7/1/2022,2,2503,6157,1210.0,-6.95
20,7/1/2022,3,2567,4218,1640.0,-4.23
23,7/15/2022,1,2419,6250,,-2.43
23,7/15/2022,2,2560,7082,1770.0,-11.28
23,7/15/2022,3,2600,5894,1190.0,0.96
23,7/15/2022,4,2604,6641,,-1.64
24,7/16/2022,1,2554,5777,1790.0,3.61
24,7/16/2022,2,2522,8024,,-4.12
25,7/22/2022,1,2378,6487,,-8.2
26,7/22/2022,2,2537,5373,990.0,2.57
26,7/22/2022,3,2533,4944,,-3.54
26,7/22/2022,4,2629,6133,1150.0,-2.39
27,7/29/2022,1,2390,3891,,-4.58
27,7/29/2022,2,2289,5839,1440.0,-4.71
27,7/29/2022,3,2491,5723,1190.0,0.07
27,7/29/2022,4,2456,5304,1090.0,-6.51
21,7/8/2022,1,2394,5833,920.0,1.22
21,7/8/2022,2,2393,5722,850.0,-8.2
21,7/8/2022,3,2362,5512,960.0,-0.84
22,7/9/2022,1,2354,6690,1100.0,-4.96
22,7/9/2022,2,2513,6524,,-3.94
29,8/12/2022,1,2461,4632,1010.0,3.82
29,8/12/2022,2,2493,6335,870.0,-4.78
29,8/12/2022,3,2476,4940,1600.0,0.38
30,8/20/2022,1,2430,5311,1140.0,-2.01
30,8/20/2022,2,2448,4550,1060.0,2.19
31,8/20/2022,3,2582,3991,980.0,-2.86
32,8/27/2022,1,2346,5696,1010.0,-1.69
32,8/27/2022,2,2315,4741,1110.0,-5.47
32,8/27/2022,3,2499,4817,1890.0,1.36
28,8/7/2022,1,2428,5279,1040.0,2.92
28,8/7/2022,2,2457,6170,1000.0,-4.71
28,8/7/2022,3,2507,4267,1300.0,2.44
