PlayerTestSessionId,TestDate,TestSessionSeq,PeakPropulsiveForceNewtons,PeakLandingForceNewtons,TimeToStabilizationMilliseconds,LRPropulsiveImpulseIndexPct
13,10/15/2022,1,2429,7658,780.0,-7.04
13,10/15/2022,2,2395,7124,670.0,-2.58
13,10/15/2022,3,2404,4858,780.0,-10.79
14,10/19/2022,1,2567,6313,850.0,-10.81
14,10/19/2022,2,2640,6457,810.0,-5.5
14,10/19/2022,3,2576,3207,,-10.01
14,10/19/2022,4,2455,4438,790.0,-6.59
15,10/25/2022,1,2324,6535,550.0,-6.26
15,10/25/2022,2,2373,4501,720.0,-2.0
15,10/25/2022,3,2312,6255,840.0,-4.89
2,6/10/2022,1,2145,6056,710.0,-6.48
2,6/10/2022,2,2086,5998,840.0,-10.06
2,6/10/2022,3,2076,6609,890.0,-7.0
3,6/15/2022,1,2179,5335,670.0,0.51
3,6/15/2022,2,2027,5739,750.0,-12.59
3,6/15/2022,3,2026,6446,750.0,-4.23
4,6/24/2022,1,2249,7203,810.0,-5.15
4,6/24/2022,2,2204,5538,730.0,-8.38
4,6/24/2022,3,2280,5809,920.0,-3.44
5,6/30/2022,1,2432,6694,680.0,-12.83
5,6/30/2022,2,2410,7664,1180.0,-7.86
5,6/30/2022,3,2321,7591,2050.0,-12.39
1,6/9/2022,1,2339,5964,680.0,-6.8
1,6/9/2022,2,2220,6250,660.0,-9.34
1,6/9/2022,3,2191,6025,690.0,-10.55
7,7/11/2022,1,2251,7169,1040.0,-7.89
8,7/11/2022,2,2226,5506,720.0,-0.83
8,7/11/2022,3,2283,6857,820.0,-6.14
9,7/21/2022,1,2312,6766,680.0,-5.78
9,7/21/2022,2,2199,7497,710.0,-7.75
9,7/21/2022,3,2250,6879,980.0,-5.02
10,7/25/2022,1,2324,7070,750.0,-4.86
10,7/25/2022,2,2384,5516,1860.0,-3.85
10,7/25/2022,3,2432,6979,980.0,-7.58
6,7/7/2022,1,2206,7935,640.0,-4.27
6,7/7/2022,2,2305,6852,890.0,-7.97
6,7/7/2022,3,2272,8000,1910.0,-7.01
11,8/2/2022,1,2530,5461,760.0,-8.73
11,8/2/2022,2,2424,6349,770.0,-0.04
11,8/2/2022,3,2622,5886,790.0,-3.6
12,8/8/2022,1,2471,5376,910.0,-5.26
12,8/8/2022,2,2347,6098,1010.0,-1.38
12,8/8/2022,3,2337,6045,690.0,-6.59
