PlayerTestSessionId,TestDate,TestSessionSeq,PeakPropulsiveForceNewtons,PeakLandingForceNewtons,TimeToStabilizationMilliseconds,LRPropulsiveImpulseIndexPct
17,10/15/2022,1,2981,6370,550.0,10.16
17,10/15/2022,2,2222,7084,580.0,-5.55
17,10/15/2022,3,2313,7011,1440.0,-8.05
17,10/15/2022,4,2309,7559,540.0,-2.0
18,10/17/2022,1,2165,7043,2520.0,-4.38
19,10/17/2022,2,2177,6756,710.0,-1.5
19,10/17/2022,3,2173,7503,1060.0,-6.6
20,10/25/2022,1,2107,5443,750.0,-8.71
20,10/25/2022,2,2154,6416,2100.0,-0.13
20,10/25/2022,3,2161,5906,720.0,-11.59
1,5/11/2022,1,2202,4456,660.0,-4.78
1,5/11/2022,2,2219,3902,2440.0,-3.58
1,5/11/2022,3,2337,5032,590.0,-3.9
2,5/17/2022,1,2266,4011,2560.0,-5.41
2,5/17/2022,2,2304,3894,720.0,-4.83
2,5/17/2022,3,2418,3521,1650.0,-8.47
3,5/24/2022,1,2226,3934,3800.0,-3.67
3,5/24/2022,2,2176,4224,1970.0,-9.88
3,5/24/2022,3,2209,6813,590.0,-8.29
6,6/16/2022,1,2311,4247,2510.0,-2.33
6,6/16/2022,2,2213,4218,710.0,-3.48
6,6/16/2022,3,2274,3606,2640.0,-5.78
4,6/2/2022,1,2153,5917,620.0,-5.82
4,6/2/2022,2,2277,4938,1140.0,-8.85
4,6/2/2022,3,2354,6086,620.0,-7.71
7,6/24/2022,1,2115,6982,2420.0,-6.38
7,6/24/2022,2,2150,4740,1030.0,-5.06
7,6/24/2022,3,2331,6115,660.0,-7.18
7,6/24/2022,4,2420,6068,640.0,-2.52
8,6/27/2022,1,2114,7194,630.0,-3.65
8,6/27/2022,2,2174,4166,3180.0,-4.52
8,6/27/2022,3,2303,5163,1680.0,-5.31
5,6/7/2022,1,2050,5685,560.0,-4.05
5,6/7/2022,2,2141,4457,690.0,-4.25
5,6/7/2022,3,2280,3485,1090.0,-4.85
10,7/14/2022,1,2318,5601,3280.0,-5.46
10,7/14/2022,2,2123,4641,3160.0,-5.13
10,7/14/2022,3,2255,7137,630.0,-6.69
11,7/20/2022,1,1850,4899,1110.0,0.64
12,7/20/2022,2,2258,6511,3030.0,-6.87
12,7/20/2022,3,2357,7218,3730.0,-1.03
12,7/20/2022,4,2250,6894,750.0,-4.52
13,7/25/2022,1,2410,7285,570.0,-6.57
13,7/25/2022,2,2543,6684,540.0,-4.73
13,7/25/2022,3,2488,5907,770.0,-5.56
9,7/6/2022,1,2211,5486,3010.0,-6.37
9,7/6/2022,2,2171,6528,680.0,5.09
9,7/6/2022,3,2209,8091,750.0,-6.2
14,8/1/2022,1,2470,7041,2470.0,-2.07
14,8/1/2022,2,2471,5291,,-4.31
14,8/1/2022,3,2489,4192,,-5.97
14,8/1/2022,4,2446,8800,1680.0,-0.41
16,8/15/2022,1,2117,6964,900.0,-7.53
16,8/15/2022,2,2321,6404,590.0,-2.6
16,8/15/2022,3,2363,6551,580.0,-7.27
15,8/8/2022,1,2427,6275,3680.0,-6.21
15,8/8/2022,2,2435,7308,540.0,-0.59
15,8/8/2022,3,2371,7750,620.0,-3.79
15,8/8/2022,4,2410,7711,,-7.48
