PlayerTestSessionId,TestDate,TestSessionSeq,PeakPropulsiveForceNewtons,PeakLandingForceNewtons,TimeToStabilizationMilliseconds,LRPropulsiveImpulseIndexPct
19,10/15/2022,1,2063,3265,580.0,11.09
19,10/15/2022,2,2010,4382,,12.32
20,10/15/2022,3,2156,4409,1980.0,7.01
21,10/19/2022,1,2139,4150,2260.0,7.78
21,10/19/2022,2,2015,4103,1270.0,9.11
21,10/19/2022,3,2036,3387,810.0,5.87
22,10/24/2022,1,2372,3641,680.0,6.14
23,10/25/2022,1,1928,2892,840.0,12.12
23,10/25/2022,2,1999,5032,1240.0,9.22
23,10/25/2022,3,1962,3597,1970.0,5.51
1,5/11/2022,1,2060,3870,,4.19
1,5/11/2022,2,2159,3713,1730.0,3.79
1,5/11/2022,3,2391,5343,670.0,4.66
1,5/11/2022,4,2285,4282,2870.0,9.25
2,5/17/2022,1,1962,4335,,3.84
2,5/17/2022,2,2187,4391,680.0,8.79
2,5/17/2022,3,2327,4717,660.0,4.32
2,5/17/2022,4,2575,4509,470.0,4.11
3,5/24/2022,1,1900,7413,3500.0,7.58
3,5/24/2022,2,1983,3816,510.0,12.96
4,5/24/2022,3,2217,4553,490.0,3.81
5,5/31/2022,1,2096,4934,960.0,9.89
5,5/31/2022,2,2007,6377,3730.0,5.88
5,5/31/2022,3,2237,3731,720.0,8.98
5,5/31/2022,4,2043,5121,2980.0,11.25
7,6/15/2022,1,2601,5457,,6.58
7,6/15/2022,2,2098,4908,1800.0,8.0
7,6/15/2022,3,2316,4040,2130.0,13.38
7,6/15/2022,4,2310,3682,2740.0,1.84
8,6/24/2022,1,2220,5665,620.0,8.12
8,6/24/2022,2,2313,4522,3610.0,7.84
8,6/24/2022,3,2187,4329,1060.0,6.68
8,6/24/2022,4,2237,5191,2600.0,12.09
9,6/29/2022,1,1064,3002,,
10,6/29/2022,2,1069,3379,,
10,6/29/2022,3,1066,2844,,
6,6/6/2022,1,2162,4591,2170.0,4.47
6,6/6/2022,2,2166,5009,2530.0,6.49
6,6/6/2022,3,2164,4687,1680.0,3.25
12,7/12/2022,1,2240,4996,2450.0,8.0
12,7/12/2022,2,2220,4118,1910.0,9.58
12,7/12/2022,3,2225,6505,2590.0,8.09
12,7/12/2022,4,2199,4218,2650.0,4.73
13,7/22/2022,1,2218,3490,2000.0,11.83
13,7/22/2022,2,2067,4373,990.0,3.17
13,7/22/2022,3,2407,3497,590.0,7.79
13,7/22/2022,4,2374,4114,760.0,2.62
14,7/25/2022,1,2248,4287,2500.0,6.36
14,7/25/2022,2,1946,6786,1760.0,14.3
14,7/25/2022,3,1935,4792,1370.0,6.25
11,7/7/2022,1,2303,4846,1870.0,6.27
11,7/7/2022,2,2408,4774,,4.62
11,7/7/2022,3,2139,4240,2900.0,10.67
11,7/7/2022,4,2310,4128,1020.0,8.19
18,8/15/2022,1,2113,4191,630.0,8.14
18,8/15/2022,2,2039,5836,3300.0,7.11
15,8/2/2022,1,2158,5053,1600.0,11.53
15,8/2/2022,2,2039,6155,670.0,6.08
15,8/2/2022,3,1912,4179,2900.0,12.58
16,8/8/2022,1,2247,4324,3710.0,10.99
17,8/8/2022,2,2197,4412,1910.0,3.46
17,8/8/2022,3,2039,4438,500.0,10.2
