PlayerTestSessionId,TestDate,TestSessionSeq,PeakPropulsiveForceNewtons,PeakLandingForceNewtons,TimeToStabilizationMilliseconds,LRPropulsiveImpulseIndexPct
23,1/17/2023,1,2608,7134,690.0,3.59
23,1/17/2023,2,2612,6366,,1.7
23,1/17/2023,3,2670,8356,600.0,-0.11
24,1/24/2023,1,2692,8542,850.0,-4.0
24,1/24/2023,2,2800,7243,,1.58
24,1/24/2023,3,2811,8237,1500.0,-8.02
25,1/31/2023,1,2767,7271,630.0,2.46
25,1/31/2023,2,2658,7327,920.0,-1.9
25,1/31/2023,3,2965,6911,,2.53
27,2/14/2023,1,2637,6705,930.0,0.12
27,2/14/2023,2,2545,8520,790.0,-3.48
27,2/14/2023,3,2462,5863,910.0,-0.75
28,2/21/2023,1,2696,7664,710.0,1.53
28,2/21/2023,2,2870,7991,1850.0,-0.92
28,2/21/2023,3,2837,7799,2160.0,8.8
26,2/7/2023,1,2565,7844,2690.0,0.09
26,2/7/2023,2,2481,8999,1250.0,2.08
26,2/7/2023,3,2540,7873,1090.0,-6.62
32,3/14/2023,1,2680,5155,930.0,7.03
33,3/14/2023,2,2854,6385,830.0,-0.46
33,3/14/2023,3,2752,6830,1690.0,-3.34
34,3/21/2023,1,2719,5641,760.0,5.69
34,3/21/2023,2,2486,7207,920.0,-2.51
34,3/21/2023,3,2609,6082,2100.0,2.91
35,3/28/2023,1,2600,5483,1160.0,-3.85
36,3/28/2023,2,2595,4708,1060.0,-1.07
36,3/28/2023,3,2777,5010,990.0,-6.94
29,3/3/2023,1,2816,9185,750.0,1.04
30,3/3/2023,2,2784,8215,1090.0,-4.16
30,3/3/2023,3,2837,9019,780.0,3.82
31,3/7/2023,1,2635,7276,1040.0,3.34
31,3/7/2023,2,2455,5805,1600.0,-4.97
31,3/7/2023,3,2629,7855,800.0,0.42
1,4/12/2022,1,2502,7060,710.0,3.75
1,4/12/2022,2,2415,7685,700.0,3.78
1,4/12/2022,3,2609,6885,1710.0,-0.54
2,4/19/2022,1,2336,8534,520.0,8.53
2,4/19/2022,2,2511,6697,630.0,-0.06
2,4/19/2022,3,2416,9746,930.0,6.34
3,4/26/2022,1,2398,7749,,-0.28
3,4/26/2022,2,2473,6958,620.0,4.18
4,4/26/2022,3,2568,7475,780.0,10.28
37,4/4/2023,1,2612,6420,910.0,0.14
37,4/4/2023,2,2751,6899,850.0,-2.82
37,4/4/2023,3,2816,5729,2540.0,-7.15
6,5/10/2022,1,2308,6876,1720.0,-8.8
6,5/10/2022,2,2309,6858,1860.0,4.16
7,5/17/2022,1,2438,6568,,-3.71
7,5/17/2022,2,2393,6205,760.0,0.26
5,5/3/2022,1,2253,6991,,-4.07
5,5/3/2022,2,2290,6871,2160.0,0.22
8,5/31/2022,1,2356,6520,3070.0,6.17
8,5/31/2022,2,2370,7325,530.0,1.01
10,6/14/2022,1,2098,6005,710.0,6.33
10,6/14/2022,2,2183,7662,620.0,-4.41
10,6/14/2022,3,2043,7514,820.0,5.99
11,6/21/2022,1,2321,6572,1160.0,0.98
11,6/21/2022,2,2129,6194,,2.25
11,6/21/2022,3,2318,6763,1530.0,0.29
12,6/28/2022,1,2250,8346,,-4.97
12,6/28/2022,2,2058,5268,610.0,-10.56
13,6/28/2022,3,2159,6372,,-5.92
9,6/7/2022,1,2401,8212,,5.74
9,6/7/2022,2,2095,4744,1080.0,8.25
15,7/12/2022,1,2251,6639,2160.0,-6.86
15,7/12/2022,2,2156,7992,1330.0,-6.98
15,7/12/2022,3,2341,6064,2880.0,-4.76
16,7/26/2022,1,2639,6271,2830.0,-2.72
16,7/26/2022,2,2405,6192,1630.0,-1.09
16,7/26/2022,3,2454,6189,1380.0,-4.85
14,7/5/2022,1,2521,6312,,-3.47
14,7/5/2022,2,2319,6546,,-1.02
18,8/16/2022,1,2507,5370,800.0,-7.47
18,8/16/2022,2,2522,5366,1490.0,-3.62
18,8/16/2022,3,2358,6305,820.0,-2.18
17,8/2/2022,1,2398,7460,2280.0,-6.16
17,8/2/2022,2,2429,5887,2280.0,-3.74
17,8/2/2022,3,2782,6032,680.0,-0.15
19,8/30/2022,1,2369,7081,,0.19
20,8/30/2022,2,2421,5529,2380.0,-0.93
20,8/30/2022,3,2612,6626,2260.0,1.78
22,9/13/2022,1,2550,7174,940.0,-0.62
22,9/13/2022,2,2787,7293,1670.0,2.6
22,9/13/2022,3,2675,7019,1910.0,-3.06
21,9/6/2022,1,2645,6234,850.0,1.5
21,9/6/2022,2,2549,6428,1100.0,-2.45
21,9/6/2022,3,2643,5563,1490.0,-4.2
