PlayerTestSessionId,TestDate,TestSessionSeq,PeakPropulsiveForceNewtons,PeakLandingForceNewtons,TimeToStabilizationMilliseconds,LRPropulsiveImpulseIndexPct
1,5/29/2022,1,2181,3537,940.0,2.57
1,5/29/2022,2,2247,6131,990.0,10.24
1,5/29/2022,3,2267,4163,1080.0,6.16
4,6/19/2022,1,2349,5125,1810.0,7.57
4,6/19/2022,2,2272,5066,1220.0,3.58
4,6/19/2022,3,2285,5083,990.0,7.21
5,6/25/2022,1,2278,4957,1420.0,12.66
5,6/25/2022,2,2239,5391,930.0,10.72
5,6/25/2022,3,2312,4507,860.0,4.18
2,6/4/2022,1,1184,2255,,
2,6/4/2022,2,1164,2414,2140.0,
2,6/4/2022,3,1114,2632,,
3,6/8/2022,1,2288,4919,1810.0,4.46
3,6/8/2022,2,2213,4680,920.0,8.5
3,6/8/2022,3,2281,4950,900.0,16.88
8,7/16/2022,1,2272,4595,980.0,1.39
8,7/16/2022,2,2333,5579,1080.0,14.75
8,7/16/2022,3,2264,5697,1190.0,-3.02
9,7/27/2022,1,2311,5030,880.0,14.17
9,7/27/2022,2,2317,5206,900.0,2.72
10,7/27/2022,3,2289,4665,1050.0,5.43
11,7/27/2022,4,2373,7489,,10.41
6,7/3/2022,1,2288,4481,1090.0,3.5
6,7/3/2022,2,2266,5589,1430.0,1.54
6,7/3/2022,3,2235,3842,920.0,6.92
12,7/31/2022,1,2352,6373,1000.0,-4.31
12,7/31/2022,2,2264,10014,830.0,17.13
13,7/31/2022,3,2269,4553,880.0,-9.5
7,7/7/2022,1,2349,5465,960.0,12.24
7,7/7/2022,2,2280,5491,990.0,6.73
7,7/7/2022,3,2263,4810,1040.0,7.79
14,8/10/2022,1,2301,6378,960.0,6.08
14,8/10/2022,2,2286,6492,1060.0,9.12
15,8/10/2022,3,2361,7178,1150.0,8.71
16,8/18/2022,1,2369,8790,980.0,13.15
16,8/18/2022,2,2418,9334,930.0,9.44
16,8/18/2022,3,2402,11388,,1.81
17,8/30/2022,1,2385,7645,1010.0,14.29
17,8/30/2022,2,2323,6738,1320.0,5.75
17,8/30/2022,3,2427,6144,910.0,4.01
18,9/13/2022,1,2424,8730,960.0,3.46
18,9/13/2022,2,2313,9713,1270.0,13.98
18,9/13/2022,3,2370,7931,800.0,3.9
