PlayerTestSessionId,TestDate,TestSessionSeq,PeakPropulsiveForceNewtons,PeakLandingForceNewtons,TimeToStabilizationMilliseconds,LRPropulsiveImpulseIndexPct
11,2/17/2023,1,2153,5451,1140.0,-2.25
11,2/17/2023,2,2106,4841,1160.0,-12.21
11,2/17/2023,3,2235,4601,1150.0,-0.28
12,2/24/2023,1,2116,3918,1260.0,-5.71
12,2/24/2023,2,2171,5545,1190.0,5.27
13,2/24/2023,3,2203,4175,1030.0,0.96
16,3/11/2023,1,1936,3815,1110.0,-2.67
16,3/11/2023,2,2026,3742,990.0,0.88
16,3/11/2023,3,2009,3055,1160.0,-5.83
17,3/17/2023,1,1934,2853,1180.0,-3.4
17,3/17/2023,2,2060,3792,1070.0,4.83
17,3/17/2023,3,2020,3423,960.0,1.34
18,3/25/2023,1,1892,4006,1140.0,-8.45
18,3/25/2023,2,2057,4469,1040.0,6.53
18,3/25/2023,3,2058,2781,1140.0,0.27
14,3/4/2023,1,2078,4681,1040.0,0.39
14,3/4/2023,2,2067,3761,1460.0,0.49
15,3/4/2023,3,2021,4923,1070.0,-2.27
19,4/1/2023,1,2073,3308,1060.0,-0.05
19,4/1/2023,2,2179,2809,1060.0,-5.91
19,4/1/2023,3,2156,2835,1050.0,12.75
1,7/27/2022,1,2023,4097,890.0,-6.68
1,7/27/2022,2,1962,3744,2170.0,-5.61
1,7/27/2022,3,1960,3486,920.0,-6.11
2,7/29/2022,1,2037,4915,1030.0,-5.37
2,7/29/2022,2,2080,4189,830.0,-6.88
2,7/29/2022,3,2140,3709,1000.0,-9.95
5,8/13/2022,1,2006,4842,1100.0,-14.45
5,8/13/2022,2,2016,3492,1000.0,1.11
5,8/13/2022,3,1979,3495,1050.0,-9.37
6,8/26/2022,1,2044,5856,1190.0,-3.44
7,8/26/2022,2,2055,4947,1030.0,-1.4
7,8/26/2022,3,2072,4902,1210.0,-3.17
3,8/6/2022,1,2032,5304,1000.0,-3.21
3,8/6/2022,2,2161,4964,1020.0,-7.77
4,8/6/2022,3,2102,5773,1150.0,5.88
10,9/17/2022,1,2025,4658,1160.0,-9.18
10,9/17/2022,2,2112,4126,960.0,-6.3
10,9/17/2022,3,2067,3083,1200.0,4.93
8,9/3/2022,1,2057,4202,1030.0,-7.03
8,9/3/2022,2,2065,5318,1010.0,0.69
8,9/3/2022,3,2101,4919,1190.0,-2.6
9,9/9/2022,1,2035,5111,1050.0,-4.51
9,9/9/2022,2,2095,4687,1230.0,-3.19
9,9/9/2022,3,2079,5396,1250.0,-5.18
