PlayerTestSessionId,TestDate,TestSessionSeq,PeakPropulsiveForceNewtons,PeakLandingForceNewtons,TimeToStabilizationMilliseconds,LRPropulsiveImpulseIndexPct
21,11/10/2022,1,2797,6532,700.0,-5.86
21,11/10/2022,2,2661,6883,3530.0,1.24
21,11/10/2022,3,2719,7257,,-8.89
22,2/21/2023,1,2326,6585,2710.0,-0.56
22,2/21/2023,2,2301,5802,3190.0,1.68
22,2/21/2023,3,2319,7430,,-2.45
23,2/28/2023,1,2282,4734,940.0,-1.06
23,2/28/2023,2,2342,6358,2740.0,-0.02
23,2/28/2023,3,2414,7285,4300.0,3.38
25,3/14/2023,1,2383,4856,,-3.51
25,3/14/2023,2,2378,8012,,2.24
25,3/14/2023,3,2355,6138,,0.75
26,3/21/2023,1,2347,5899,,1.82
26,3/21/2023,2,2572,7093,,-1.69
26,3/21/2023,3,2392,7222,,-1.27
27,3/28/2023,1,2385,5176,,-1.01
27,3/28/2023,2,2549,6954,,-2.23
28,3/28/2023,3,2489,6623,,3.42
24,3/7/2023,1,2453,6329,3550.0,-1.13
24,3/7/2023,2,2444,7081,,-3.38
24,3/7/2023,3,2394,7651,3590.0,-0.25
29,4/4/2023,1,2354,4779,,2.64
29,4/4/2023,2,2505,6394,3150.0,0.86
29,4/4/2023,3,2455,7974,,2.33
1,5/10/2022,1,1200,3188,,
1,5/10/2022,2,1211,2972,,
2,5/10/2022,3,2394,6390,830.0,-0.08
3,5/17/2022,1,2441,5394,760.0,-2.59
3,5/17/2022,2,2417,5189,,-3.52
4,5/24/2022,1,2396,4935,2880.0,-3.32
5,5/24/2022,2,2480,4834,3240.0,-7.65
6,5/31/2022,1,2544,6934,950.0,-3.8
6,5/31/2022,2,2673,6785,3350.0,-3.78
6,5/31/2022,3,2602,4588,2920.0,-2.58
6,5/31/2022,4,2641,6443,2600.0,-2.67
8,6/14/2022,1,1293,3613,,
8,6/14/2022,2,1143,3026,,
9,6/14/2022,3,1224,3688,,
10,6/21/2022,1,2245,5243,840.0,0.53
10,6/21/2022,2,2209,6406,960.0,-2.74
10,6/21/2022,3,2287,5334,1270.0,-6.72
7,6/7/2022,1,2246,5961,,0.88
7,6/7/2022,2,2208,5602,,-1.93
7,6/7/2022,3,2373,6248,2540.0,-3.66
12,7/12/2022,1,2446,5715,,-1.07
12,7/12/2022,2,2300,5365,2250.0,-2.37
12,7/12/2022,3,2300,5239,1190.0,2.38
12,7/12/2022,4,2350,5922,1910.0,-3.4
13,7/27/2022,1,2197,5710,910.0,-0.85
13,7/27/2022,2,2233,4906,770.0,-5.88
11,7/4/2022,1,2312,3668,,-1.38
11,7/4/2022,2,2350,5040,,4.97
11,7/4/2022,3,2252,4364,2540.0,-11.41
18,8/16/2022,1,2237,4676,840.0,-1.88
18,8/16/2022,2,2279,6388,1680.0,-2.08
18,8/16/2022,3,2322,4492,720.0,1.38
14,8/2/2022,1,2268,4265,,-4.59
15,8/2/2022,2,2326,5409,2680.0,2.37
15,8/2/2022,3,2310,4856,,-1.28
19,8/23/2022,1,2307,2601,2320.0,-0.44
19,8/23/2022,2,2341,5472,,2.45
20,8/31/2022,1,1885,3824,,31.91
16,8/9/2022,1,2209,4180,2710.0,-1.74
17,8/9/2022,2,2293,3849,1080.0,-5.22
17,8/9/2022,3,2317,4133,1120.0,2.54
