PlayerTestSessionId,TestDate,TestSessionSeq,PeakPropulsiveForceNewtons,PeakLandingForceNewtons,TimeToStabilizationMilliseconds,LRPropulsiveImpulseIndexPct
1,2/16/2023,1,2120,5145,980.0,-7.39
2,2/16/2023,2,2176,3881,900.0,-6.13
2,2/16/2023,3,2305,5581,920.0,-0.29
3,2/22/2023,1,2146,3818,1080.0,-7.18
4,2/22/2023,2,2231,4187,740.0,-0.76
4,2/22/2023,3,2196,4546,850.0,-1.73
5,3/1/2023,1,2163,4810,1810.0,-4.42
5,3/1/2023,2,2166,4978,1030.0,-6.25
5,3/1/2023,3,2177,5817,,2.52
6,3/1/2023,4,1565,1776,620.0,4.1
8,3/15/2023,1,2246,3511,790.0,-5.03
9,3/15/2023,2,2244,3461,690.0,-4.26
9,3/15/2023,3,2141,4297,760.0,-4.88
10,3/16/2023,1,2246,4058,950.0,-0.66
10,3/16/2023,2,2209,4579,650.0,-7.48
11,3/16/2023,3,2167,4950,940.0,-3.51
12,3/22/2023,1,2190,3395,1060.0,-1.43
12,3/22/2023,2,2237,4171,1180.0,-3.97
13,3/22/2023,3,2215,3441,740.0,-4.51
14,3/29/2023,1,2340,3504,990.0,-4.12
14,3/29/2023,2,2198,3492,660.0,-5.94
15,3/29/2023,3,2284,3664,1060.0,3.3
7,3/8/2023,1,2165,4231,1020.0,-6.54
7,3/8/2023,2,2212,4567,680.0,5.92
7,3/8/2023,3,2239,5806,1260.0,-3.58
16,4/5/2023,1,2373,4645,2020.0,-6.09
16,4/5/2023,2,2205,4105,1870.0,0.23
16,4/5/2023,3,2299,4001,900.0,0.21
