PlayerTestSessionId,TestDate,TestSessionSeq,PeakPropulsiveForceNewtons,PeakLandingForceNewtons,TimeToStabilizationMilliseconds,LRPropulsiveImpulseIndexPct
26,10/17/2022,1,2475,5555,2010.0,2.06
27,10/17/2022,2,2534,4532,630.0,8.16
27,10/17/2022,3,2642,4900,790.0,7.29
27,10/17/2022,4,2695,4954,1800.0,2.56
28,10/24/2022,1,2597,4090,610.0,4.06
28,10/24/2022,2,2523,5889,840.0,2.63
28,10/24/2022,3,2437,5722,980.0,0.72
1,4/26/2022,1,2333,7278,760.0,3.33
1,4/26/2022,2,2521,8092,490.0,4.79
1,4/26/2022,3,2615,7163,610.0,6.91
5,5/10/2022,1,2349,5673,890.0,4.63
5,5/10/2022,2,2372,6770,2760.0,4.57
5,5/10/2022,3,2302,6513,1160.0,12.31
6,5/17/2022,1,2453,8221,,4.12
7,5/17/2022,2,2605,7529,,-0.39
7,5/17/2022,3,2557,6396,,16.89
7,5/17/2022,4,2568,7592,1690.0,1.66
8,5/24/2022,1,2520,7319,,1.62
8,5/24/2022,2,2655,6497,800.0,10.87
8,5/24/2022,3,2720,7173,2140.0,4.33
2,5/3/2022,1,2389,6783,800.0,2.97
3,5/3/2022,2,2473,6771,680.0,6.94
3,5/3/2022,3,2452,7771,830.0,4.93
9,5/31/2022,1,2361,6502,,3.55
10,5/31/2022,2,2431,5923,,6.49
10,5/31/2022,3,2388,5922,,0.48
4,5/5/2022,1,2594,7698,690.0,0.86
4,5/5/2022,2,2530,7080,610.0,11.92
4,5/5/2022,3,2559,6287,1630.0,-2.38
13,6/14/2022,1,2388,7631,,7.28
13,6/14/2022,2,2394,3665,,-0.39
13,6/14/2022,3,2319,5959,,9.36
14,6/21/2022,1,2530,5253,,9.98
14,6/21/2022,2,2281,6390,,6.73
14,6/21/2022,3,2371,6494,,6.99
15,6/28/2022,1,2572,7114,,8.83
15,6/28/2022,2,2388,6789,,5.91
15,6/28/2022,3,2354,6032,,7.8
11,6/7/2022,1,2370,5994,,9.62
11,6/7/2022,2,2275,6924,,4.04
12,6/7/2022,3,2316,6796,,8.4
16,7/12/2022,1,2361,6137,520.0,6.72
16,7/12/2022,2,2269,5128,,-1.02
16,7/12/2022,3,2306,5838,,3.02
19,8/16/2022,1,2448,4520,,5.99
20,8/16/2022,2,2392,5125,,7.41
20,8/16/2022,3,2397,3781,,-7.52
17,8/2/2022,1,2446,4886,,9.22
17,8/2/2022,2,2289,5281,,2.54
17,8/2/2022,3,2295,4935,,11.72
21,8/30/2022,1,2475,5191,860.0,12.38
21,8/30/2022,2,2460,5621,,12.03
21,8/30/2022,3,2379,5101,,3.44
18,8/9/2022,1,2355,4219,,10.57
18,8/9/2022,2,2260,4136,,6.73
18,8/9/2022,3,2264,5340,,9.3
18,8/9/2022,4,2100,6403,870.0,-1.36
24,9/13/2022,1,2408,4229,1100.0,-3.25
24,9/13/2022,2,2407,4591,2300.0,8.55
24,9/13/2022,3,2416,4750,,4.39
25,9/20/2022,1,2503,4810,,12.68
25,9/20/2022,2,2554,4800,,-1.86
25,9/20/2022,3,2500,5147,,7.18
22,9/6/2022,1,2510,5109,,6.41
22,9/6/2022,2,2506,5430,,6.81
23,9/6/2022,3,2395,4427,,8.24
