PlayerTestSessionId,TestDate,TestSessionSeq,PeakPropulsiveForceNewtons,PeakLandingForceNewtons,TimeToStabilizationMilliseconds,LRPropulsiveImpulseIndexPct
16,1/24/2023,1,2621,5479,1020.0,0.85
16,1/24/2023,2,2580,6683,1060.0,-0.72
16,1/24/2023,3,2388,5165,1120.0,-7.06
17,1/31/2023,1,2406,6158,1050.0,-1.44
17,1/31/2023,2,2476,4543,990.0,4.18
17,1/31/2023,3,2370,5137,2030.0,-7.42
19,2/14/2023,1,2452,5637,1140.0,-9.07
19,2/14/2023,2,2604,3661,1170.0,-0.04
19,2/14/2023,3,2534,6752,1200.0,-1.66
20,2/21/2023,1,2533,4983,1030.0,-1.86
21,2/21/2023,2,2456,5646,1060.0,1.59
21,2/21/2023,3,2472,5204,580.0,6.66
22,2/28/2023,1,2360,5762,970.0,-1.94
22,2/28/2023,2,2317,4264,1060.0,1.34
22,2/28/2023,3,2372,6889,,-3.7
18,2/7/2023,1,2422,3164,1160.0,-8.73
18,2/7/2023,2,2480,4843,1150.0,-1.23
18,2/7/2023,3,2521,5974,1130.0,2.7
24,3/15/2023,1,2442,5767,1640.0,5.61
24,3/15/2023,2,2351,6793,1250.0,1.69
24,3/15/2023,3,2405,5209,970.0,3.22
25,3/21/2023,1,2441,5498,1100.0,-2.84
25,3/21/2023,2,2563,4821,1060.0,-2.15
25,3/21/2023,3,2706,6727,1060.0,-2.86
26,3/30/2023,1,2293,6585,1690.0,-5.21
26,3/30/2023,2,2240,5682,1750.0,5.69
26,3/30/2023,3,2373,7359,1590.0,-3.8
23,3/7/2023,1,2433,5570,950.0,-0.55
23,3/7/2023,2,2497,5177,1780.0,0.39
23,3/7/2023,3,2504,4910,570.0,-1.15
1,5/10/2022,1,2346,5161,960.0,6.03
2,5/10/2022,2,2501,4732,,3.62
2,5/10/2022,3,2526,3651,,5.36
3,5/17/2022,1,2245,4611,940.0,-2.81
3,5/17/2022,2,2265,5934,920.0,6.94
3,5/17/2022,3,2442,5356,900.0,1.23
4,5/26/2022,1,2258,4382,1020.0,-4.26
4,5/26/2022,2,2343,5405,1320.0,-1.28
4,5/26/2022,3,2463,6077,1020.0,-0.23
5,5/31/2022,1,2166,4726,,3.72
5,5/31/2022,2,2240,4386,920.0,-2.41
5,5/31/2022,3,2315,4841,1040.0,-6.18
7,6/14/2022,1,2291,6267,890.0,-2.65
7,6/14/2022,2,2328,7040,970.0,3.31
7,6/14/2022,3,2418,5598,940.0,2.39
8,6/21/2022,1,2309,5049,820.0,-6.25
8,6/21/2022,2,2306,5712,980.0,1.69
8,6/21/2022,3,2292,3939,890.0,1.64
6,6/7/2022,1,2381,3324,970.0,11.71
6,6/7/2022,2,2415,4595,1040.0,-0.62
6,6/7/2022,3,2489,4286,970.0,6.16
10,7/12/2022,1,2521,6616,900.0,7.9
10,7/12/2022,2,2639,6904,960.0,1.16
10,7/12/2022,3,2676,6879,950.0,6.47
11,7/26/2022,1,2358,4330,930.0,7.06
11,7/26/2022,2,2368,6481,880.0,1.46
11,7/26/2022,3,2581,5754,920.0,3.53
9,7/6/2022,1,2410,4620,1010.0,1.66
9,7/6/2022,2,2594,5250,890.0,5.97
9,7/6/2022,3,2667,3496,1070.0,6.77
12,8/11/2022,1,2444,4284,850.0,1.54
12,8/11/2022,2,2426,5730,890.0,0.12
12,8/11/2022,3,2503,7293,830.0,6.35
13,8/16/2022,1,2515,5698,980.0,1.16
13,8/16/2022,2,2677,5447,850.0,2.91
14,8/16/2022,3,2647,5443,840.0,9.77
15,9/6/2022,1,1188,2957,,
15,9/6/2022,2,1300,3250,,
15,9/6/2022,3,1265,3605,1130.0,
