PlayerTestSessionId,TestDate,TestSessionSeq,PeakPropulsiveForceNewtons,PeakLandingForceNewtons,TimeToStabilizationMilliseconds,LRPropulsiveImpulseIndexPct
19,2/21/2023,1,2370,3435,990.0,-6.23
20,2/21/2023,2,2520,4362,930.0,-1.68
20,2/21/2023,3,2571,3661,930.0,-4.94
21,2/28/2023,1,2420,3940,930.0,-8.79
21,2/28/2023,2,2622,4241,1110.0,-2.32
21,2/28/2023,3,2582,4499,,-7.09
23,3/14/2023,1,2345,5384,,-5.6
24,3/14/2023,2,2545,3653,,-9.17
24,3/14/2023,3,2559,3514,,0.31
25,3/21/2023,1,2280,3633,,-6.82
25,3/21/2023,2,2540,3931,,-8.56
25,3/21/2023,3,2619,4349,,-8.4
26,3/28/2023,1,1988,5283,780.0,-8.19
26,3/28/2023,2,1945,5545,,-13.94
27,3/28/2023,3,2012,4358,1160.0,-0.77
22,3/7/2023,1,2496,4013,,-2.21
22,3/7/2023,2,2851,3548,1010.0,-4.83
22,3/7/2023,3,2826,7037,,-7.58
30,4/11/2023,1,2277,5326,1470.0,-2.42
30,4/11/2023,2,2328,4342,990.0,-10.43
30,4/11/2023,3,2353,3610,,-11.18
28,4/4/2023,1,2175,4635,,-6.52
28,4/4/2023,2,2408,4912,,-8.73
29,4/4/2023,3,2703,3107,,-10.81
1,5/10/2022,1,2203,4676,920.0,-10.59
1,5/10/2022,2,2075,4902,1460.0,-9.71
1,5/10/2022,3,2195,4025,1590.0,-7.84
2,5/17/2022,1,2168,5076,940.0,-3.23
2,5/17/2022,2,2368,5673,,-7.28
3,5/24/2022,1,2365,4917,1460.0,-4.83
3,5/24/2022,2,2614,3998,,-7.55
3,5/24/2022,3,2650,5399,,-4.96
4,5/31/2022,1,2298,4463,1730.0,-5.93
4,5/31/2022,2,2393,3952,2820.0,-6.18
4,5/31/2022,3,2447,3683,,-0.08
6,6/14/2022,1,2115,5272,1010.0,-5.03
6,6/14/2022,2,2183,4642,1140.0,-10.05
6,6/14/2022,3,2417,3693,1140.0,-2.61
7,6/21/2022,1,2065,4259,970.0,-3.6
7,6/21/2022,2,2040,4582,900.0,-17.36
7,6/21/2022,3,2230,5317,1380.0,0.29
5,6/7/2022,1,2169,4759,,-4.4
5,6/7/2022,2,2030,4496,970.0,-4.13
5,6/7/2022,3,2056,4973,,4.9
10,7/27/2022,1,2155,3281,960.0,3.02
10,7/27/2022,2,2534,3217,960.0,-4.79
10,7/27/2022,3,2609,4556,930.0,-2.4
8,7/4/2022,1,2136,4516,,-0.16
9,7/4/2022,2,2202,4355,,-3.55
9,7/4/2022,3,2164,3056,2440.0,-8.98
15,8/16/2022,1,2365,4462,,-6.14
15,8/16/2022,2,2491,3164,890.0,0.06
15,8/16/2022,3,2647,3518,1160.0,-4.3
11,8/2/2022,1,2252,3981,860.0,-7.27
12,8/2/2022,2,2493,4566,,-7.22
12,8/2/2022,3,2575,3694,1290.0,-0.44
16,8/23/2022,1,2030,4583,,29.78
16,8/23/2022,2,2513,3577,,-11.82
17,8/23/2022,3,2735,3727,960.0,-5.34
18,8/31/2022,1,2158,4285,,-10.84
18,8/31/2022,2,2038,3056,,29.53
13,8/9/2022,1,1047,2438,,
14,8/9/2022,2,2361,4151,,-3.13
14,8/9/2022,3,2451,4069,950.0,-1.6
14,8/9/2022,4,2511,2967,,-3.46
