PlayerTestSessionId,TestDate,TestSessionSeq,PeakPropulsiveForceNewtons,PeakLandingForceNewtons,TimeToStabilizationMilliseconds,LRPropulsiveImpulseIndexPct
25,1/13/2023,1,2773,5307,,0.38
25,1/13/2023,2,2922,6080,,-9.79
25,1/13/2023,3,2787,4283,,0.01
26,1/20/2023,1,2976,5733,,-1.44
27,1/21/2023,1,2699,7087,,-4.01
27,1/21/2023,2,2740,6411,,-8.81
27,1/21/2023,3,2736,5273,,0.65
28,1/27/2023,1,2603,5387,,-5.61
28,1/27/2023,2,2800,6698,,-11.5
28,1/27/2023,3,2788,6069,,-3.7
23,1/6/2023,1,2800,5932,,-10.26
24,1/6/2023,2,2717,6334,,-3.72
24,1/6/2023,3,2750,6197,,-2.45
18,11/16/2022,1,2472,4927,,-6.83
18,11/16/2022,2,2673,5614,,-8.05
18,11/16/2022,3,2752,4567,,-8.15
20,12/16/2022,1,2834,7119,,-11.04
20,12/16/2022,2,2847,8239,,-2.35
20,12/16/2022,3,2785,6999,,-13.02
20,12/16/2022,4,2785,5409,,-2.42
21,12/23/2022,1,2514,6148,,-4.87
21,12/23/2022,2,2530,6285,,-10.05
21,12/23/2022,3,2591,6991,,2.87
22,12/23/2022,4,2803,5166,,-11.83
19,12/6/2022,1,2379,3905,3110.0,-2.51
19,12/6/2022,2,2350,7320,,-9.66
19,12/6/2022,3,2672,5525,,-2.03
31,2/10/2023,1,2552,6996,,-7.73
32,2/10/2023,2,2588,5986,,-4.75
32,2/10/2023,3,2662,6101,950.0,-5.78
33,2/17/2023,1,2577,5049,,-7.13
34,2/17/2023,2,2766,7054,,-8.37
34,2/17/2023,3,2712,6946,,-7.12
35,2/25/2023,1,2885,5522,,-8.72
35,2/25/2023,2,2892,5620,,-5.88
35,2/25/2023,3,2845,5035,,-7.14
29,2/3/2023,1,2605,6920,,-11.31
30,2/3/2023,2,2789,6185,,-4.62
30,2/3/2023,3,2766,6186,,-5.2
39,3/18/2023,1,2445,5759,,-1.99
39,3/18/2023,2,2673,6443,,-1.19
39,3/18/2023,3,2775,5882,,-0.57
39,3/18/2023,4,2798,5394,,-8.35
36,3/4/2023,1,2858,6013,,-7.36
36,3/4/2023,2,2720,6867,,-0.99
37,3/4/2023,3,2750,6246,,-3.41
38,3/7/2023,1,2846,5896,,-1.77
38,3/7/2023,2,2907,6456,,-6.96
38,3/7/2023,3,2969,5145,,-8.34
40,4/1/2023,1,2690,6345,3750.0,-6.59
40,4/1/2023,2,2636,4639,3470.0,-3.69
40,4/1/2023,3,2525,6197,,-1.72
1,4/23/2022,1,2436,5264,1220.0,-8.15
1,4/23/2022,2,2539,6815,1030.0,-8.6
1,4/23/2022,3,2623,5434,1180.0,-8.36
2,4/30/2022,1,2508,5501,3000.0,-11.61
2,4/30/2022,2,2385,5687,950.0,-5.05
2,4/30/2022,3,2473,5537,1460.0,-12.69
41,4/7/2023,1,2846,6543,,0.99
41,4/7/2023,2,2958,5068,,-2.41
41,4/7/2023,3,2889,7325,,0.49
3,5/14/2022,1,2403,5566,2890.0,-5.55
3,5/14/2022,2,2339,5538,1540.0,-10.23
3,5/14/2022,3,2319,5112,1040.0,-8.15
4,5/14/2022,4,2570,5028,,-8.81
5,5/21/2022,1,2370,5673,1170.0,-11.44
5,5/21/2022,2,2599,5689,,-7.63
5,5/21/2022,3,2409,5633,,-9.3
5,5/21/2022,4,2441,5730,,-6.17
6,5/27/2022,1,2392,3998,2450.0,-7.95
6,5/27/2022,2,2354,5247,1490.0,-11.48
6,5/27/2022,3,2415,5605,,-5.19
7,5/27/2022,4,2524,4919,,-8.19
8,6/11/2022,1,2315,5419,,-7.85
8,6/11/2022,2,2351,4995,2020.0,-7.21
8,6/11/2022,3,2404,6039,1140.0,-6.74
9,6/11/2022,4,2603,5467,1980.0,-10.92
10,6/17/2022,1,2496,7161,,-8.15
10,6/17/2022,2,2679,6080,920.0,-10.17
10,6/17/2022,3,2743,5139,,-6.7
11,6/25/2022,1,2585,5476,,-4.95
11,6/25/2022,2,2399,5985,,-7.18
11,6/25/2022,3,2681,5458,,-4.18
12,6/25/2022,4,2645,5822,,-8.45
13,7/15/2022,1,2486,6167,2910.0,-8.79
13,7/15/2022,2,2526,4912,2330.0,-9.81
13,7/15/2022,3,2570,4882,,-9.92
13,7/15/2022,4,2565,5671,,-8.05
14,7/29/2022,1,2581,6162,,-5.44
14,7/29/2022,2,2450,4433,,-14.01
14,7/29/2022,3,2541,6269,,-3.39
15,7/29/2022,4,2605,7154,,-9.1
16,8/20/2022,1,2557,4946,,4.17
16,8/20/2022,2,2521,4550,,-1.32
16,8/20/2022,3,2609,4952,,3.09
16,8/20/2022,4,2559,6218,,-2.89
17,9/7/2022,1,2646,6646,,-3.65
17,9/7/2022,2,2824,6588,,-5.66
17,9/7/2022,3,2776,5684,,-1.95
17,9/7/2022,4,2888,6816,,-4.95
