PlayerTestSessionId,TestDate,TestSessionSeq,PeakPropulsiveForceNewtons,PeakLandingForceNewtons,TimeToStabilizationMilliseconds,LRPropulsiveImpulseIndexPct
5,2/17/2023,1,2444,2732,780.0,-5.8
5,2/17/2023,2,2543,4263,850.0,-5.75
5,2/17/2023,3,2532,3554,770.0,-4.49
6,2/24/2023,1,2508,3932,750.0,4.29
6,2/24/2023,2,2592,3269,970.0,-9.43
6,2/24/2023,3,2770,4200,930.0,-3.75
8,3/10/2023,1,2358,3552,1830.0,0.01
8,3/10/2023,2,2620,4524,950.0,3.75
9,3/10/2023,3,2711,3816,1170.0,-5.89
10,3/17/2023,1,2517,2873,810.0,-2.17
10,3/17/2023,2,2633,3549,860.0,-3.5
10,3/17/2023,3,2694,3588,900.0,-3.97
11,3/24/2023,1,2304,2496,870.0,6.52
11,3/24/2023,2,2705,2948,740.0,-6.83
11,3/24/2023,3,2587,2675,750.0,-2.94
12,3/31/2023,1,2467,3613,930.0,1.33
13,3/31/2023,2,2612,4724,930.0,-0.94
13,3/31/2023,3,2651,4916,740.0,-2.39
7,3/4/2023,1,2559,3789,800.0,-0.6
7,3/4/2023,2,2740,4477,720.0,-8.42
7,3/4/2023,3,2915,3596,930.0,-1.19
2,9/16/2022,1,2096,2574,860.0,-1.8
2,9/16/2022,2,2297,3226,940.0,-3.94
2,9/16/2022,3,2378,2745,1690.0,2.48
3,9/23/2022,1,2054,2855,900.0,-2.82
3,9/23/2022,2,2230,2715,990.0,-0.48
4,9/23/2022,3,2319,3641,790.0,5.35
1,9/9/2022,1,2307,5262,,3.63
1,9/9/2022,2,2385,2778,,-1.97
1,9/9/2022,3,2406,3305,,5.94
