PlayerTestSessionId,TestDate,TestSessionSeq,PeakPropulsiveForceNewtons,PeakLandingForceNewtons,TimeToStabilizationMilliseconds,LRPropulsiveImpulseIndexPct
7,11/10/2022,1,2171,4277,930.0,19.07
7,11/10/2022,2,2327,4221,920.0,10.14
7,11/10/2022,3,2379,4498,1440.0,10.48
9,12/14/2022,1,2198,3282,810.0,5.42
9,12/14/2022,2,2303,3364,720.0,6.08
9,12/14/2022,3,2369,4486,860.0,6.43
8,12/6/2022,1,2271,3569,2810.0,8.42
8,12/6/2022,2,2378,3576,600.0,10.71
8,12/6/2022,3,2430,4680,1990.0,5.57
10,2/22/2023,1,2149,4223,960.0,3.28
10,2/22/2023,2,2324,2286,970.0,13.59
10,2/22/2023,3,2415,5273,1120.0,5.04
11,3/1/2023,1,2425,3971,750.0,12.25
11,3/1/2023,2,2497,3730,3600.0,5.35
11,3/1/2023,3,2611,3539,1010.0,6.74
13,3/15/2023,1,2281,3263,700.0,12.35
13,3/15/2023,2,2278,5014,640.0,7.14
13,3/15/2023,3,2397,2788,750.0,9.85
14,3/22/2023,1,2106,3592,830.0,14.78
15,3/22/2023,2,2178,4037,780.0,9.84
15,3/22/2023,3,2377,2720,920.0,16.21
16,3/29/2023,1,2322,3106,870.0,12.03
16,3/29/2023,2,2310,3671,1060.0,16.25
16,3/29/2023,3,2498,3422,710.0,17.0
12,3/8/2023,1,2260,2891,910.0,13.45
12,3/8/2023,2,2355,4123,920.0,16.16
12,3/8/2023,3,2514,2359,,8.92
17,4/5/2023,1,2152,2777,800.0,11.09
17,4/5/2023,2,2337,3385,880.0,6.76
17,4/5/2023,3,2425,3602,980.0,9.86
1,7/27/2022,1,2186,5621,3690.0,4.23
1,7/27/2022,2,2148,6817,1080.0,11.57
2,7/27/2022,3,2045,6119,1080.0,8.22
2,7/27/2022,4,2280,5169,1190.0,7.99
3,8/10/2022,1,2031,4033,,12.46
4,8/10/2022,2,2140,3395,1150.0,9.96
5,8/17/2022,1,2030,4302,1240.0,7.89
5,8/17/2022,2,2197,4860,810.0,10.07
5,8/17/2022,3,2199,4654,840.0,6.07
6,8/24/2022,1,1955,3223,760.0,7.46
6,8/24/2022,2,2141,4167,990.0,11.33
6,8/24/2022,3,2232,4270,750.0,11.23
