PlayerTestSessionId,TestDate,TestSessionSeq,PeakPropulsiveForceNewtons,PeakLandingForceNewtons,TimeToStabilizationMilliseconds,LRPropulsiveImpulseIndexPct
4,2/17/2023,1,2467,4573,2150.0,-0.74
4,2/17/2023,2,2225,5309,900.0,-6.57
4,2/17/2023,3,2275,4135,1120.0,-8.77
5,2/24/2023,1,2281,4026,1070.0,2.61
5,2/24/2023,2,2328,4339,1050.0,0.06
5,2/24/2023,3,2212,3083,1120.0,-9.2
7,3/10/2023,1,2370,4619,1090.0,0.27
7,3/10/2023,2,2306,4508,1080.0,-5.49
7,3/10/2023,3,2236,4705,1070.0,-1.7
8,3/17/2023,1,2266,6046,3890.0,-4.05
9,3/24/2023,1,2193,5554,1130.0,-1.28
9,3/24/2023,2,2156,2626,1270.0,-8.22
9,3/24/2023,3,2183,3289,1190.0,-4.62
10,3/31/2023,1,2498,5447,1250.0,1.05
10,3/31/2023,2,2301,3614,960.0,-2.53
10,3/31/2023,3,2342,5519,980.0,-0.79
6,3/4/2023,1,2320,5293,1030.0,-2.73
6,3/4/2023,2,2325,4593,1020.0,-2.98
6,3/4/2023,3,2168,4425,1060.0,-2.36
11,4/7/2023,1,2294,5836,,1.48
11,4/7/2023,2,2272,3896,3120.0,-7.42
11,4/7/2023,3,2321,4858,1600.0,3.34
2,9/16/2022,1,2208,4221,,-4.53
2,9/16/2022,2,2190,3061,,0.33
2,9/16/2022,3,2287,3293,,-8.47
3,9/23/2022,1,2244,4710,2510.0,-5.23
3,9/23/2022,2,2238,6758,2470.0,-7.98
3,9/23/2022,3,2424,4889,1040.0,-2.94
1,9/9/2022,1,2261,3221,,1.3
1,9/9/2022,2,2176,3084,1130.0,-2.31
1,9/9/2022,3,2078,2399,,-5.69
